id,name,calorie,sugar,lipid,salt,image
1,ひじき煮,64,8.7,2.4,0.9,,,,
2,きんぴらごぼう,92,15.2,3.2,1.1,,,,
3,うの花,91,9.1,5.4,0.7,,,,
4,味付き半熟ゆでたまご１個入り,65,0.7,4.3,0.6,,,,
5,レバニラ,211,12.4,9.1,2.9,,,,
6,９２ｋｃａｌ野菜ちゃんぽん春雨スープ,92,13.2,1.4,2.5,,,,
7,たことブロッコリーバジルサラダ,103,9.8,5.0,0.91,,,,
8,６種具材のお豆腐とひじきの煮物,126,12.4,5.5,1.3,,,,
9,ポテトサラダ,156,15.3,10.0,0.8,,,,
10,ごぼうサラダ,127,7.3,10.8,0.8,,,,
11,かぼちゃサラダ,146,15.3,9.1,0.3,,,,
12,たまごサラダ,263kcal,2.3,25.3,1.1,,,,
13,豆とひじきのサラダ,64,8.8,1.8,1.4,,,,
14,金の海老チリソース,158,15.5,5.6,2.9,,,,
15,金の直火焼ハンバーグ,391,14.8,28.2,2.8,,,,
16,金の豚角煮,355,11.8,24.3,1.2,,,,
17,７Ｐ牛肉とだしのうま味が利いた肉じゃが,284,32.2,15.2,2.1,,,,
18,ゴーヤチャンプルー,245,8.5,17.9,2.5,,,,
19,野菜とチキンのコンソメスープ,98,10.9,1.7,2.3,,,,
20,もちもち×ずっしり大入り豚まん,390,50.6,16.2,1.3,,,,
21,もっちり×ジューシー特製豚まん,349,47.3,14.0,1.6,,,,